English,Italian,en,it
I am fifty three years old, Ho cinquantatrè anni
I am fifty three,e ho cinquantatrè 
I live in England, Vivo in Inghilterra
I come from England, Vengo dall'Inghilterra
England is part of the United Kingdom, L'Inghilterra fa parte del Regno Unito
I am married and have two children, Sono sposato/a e ho due figli
I am married and have two children (less formal),Sono sposato/a e ho due bimbi
My name is Chris, Mi chiamo Chris
Hello.  My name is Chris, Buongiorno, mi chiamo Chris
Nice to meet you.  I am Chris, Piacere. sono Chris
My wife's name is Sarah, Mia moglie si chiama Sarah
My wife's name is Sarah (less formal), Mia moglie è Sarah
My son is 20 years old and is called Charlie, Mio figlio ha vent'anni e si chiama Charlie
