We live on the first floor, Abitiamo al primo piano 
The building is very old, Il palazzo è molto vecchio 
There’s no elevator, Non c’è l’ascensore
We just bought a new house, Abbiamo appena comprato una nuova casa
We just moved to a new house/apartment, Ci siamo appena spostati in una nuova casa/un nuovo appartamento 
The house has two bedrooms and one a half baths., La casa ha due stanze da letto e un bagno e mezzo 
Come on, let me give you a tour, Vieni, ti faccio vedere/ti mostro la casa 
The apartment has a lot of windows, which means there is a lot of natural light., L’appartamento ha tante finestre, quindi c’è molta luce naturale
This room will be my office!, Questa stanza sarà il mio ufficio 
The kitchen is my favorite room., La cucina è la mia stanza preferita 
Let’s go to the kitchen, Andiamo in cucina 
